created_date;meter_id;heat_quantity;heat_quantity_type;cost_center
2024-01-15 23:59:59;15059121;6386;Water;Building
2024-01-31 23:59:59;15059121;6740;Water;Building
2024-02-15 23:59:59;15059121;7082;Water;Building
2024-02-29 23:59:59;15059121;7388;Water;Building
2024-03-15 23:59:59;15059121;7731;Water;Building
2024-03-31 23:59:59;15059121;8051;Water;Building
2024-04-15 23:59:59;15059121;8380;Water;Building
2024-04-30 23:59:59;15059121;8696;Water;Building
2024-05-15 23:59:59;15059121;9001;Water;Building
2024-05-31 23:59:59;15059121;9343;Water;Building
2024-06-15 23:59:59;15059121;9591;Water;Building
2024-06-30 23:59:59;15059121;9842;Water;Building
2024-07-15 23:59:59;15059121;10098;Water;Building
2024-07-31 23:59:59;15059121;10353;Water;Building
2024-08-15 23:59:59;15059121;10574;Water;Building
2024-08-31 23:59:59;15059121;10827;Water;Building
2024-09-15 23:59:59;15059121;11031;Water;Building
2024-09-30 23:59:59;15059121;11191;Water;Building
2024-10-15 23:59:59;15059121;11433;Water;Building
2024-10-31 23:59:59;15059121;11714;Water;Building
2024-11-15 23:59:59;15059121;11976;Water;Building
2024-11-30 23:59:59;15059121;12238;Water;Building
2024-12-15 23:59:59;15059121;12529;Water;Building
2024-12-31 23:59:59;15059121;12829;Water;Building
