created_date;meter_id;heat_quantity;heat_quantity_type;cost_center
2023-03-13 23:59:59;15059121;0;Water;Building
2023-03-31 23:59:59;15059121;418;Water;Building
2023-04-30 23:59:59;15059121;1125;Water;Building
2023-05-31 23:59:59;15059121;1793;Water;Building
2023-06-30 23:59:59;15059121;2342;Water;Building
2023-07-31 23:59:59;15059121;2910;Water;Building
2023-08-31 23:59:59;15059121;3493;Water;Building
2023-09-30 23:59:59;15059121;4010;Water;Building
2023-10-15 23:59:59;15059121;4293;Water;Building
2023-10-31 23:59:59;15059121;4634;Water;Building
2023-11-15 23:59:59;15059121;4971;Water;Building
2023-11-30 23:59:59;15059121;5307;Water;Building
2023-12-15 23:59:59;15059121;5645;Water;Building
2023-12-31 23:59:59;15059121;6010;Water;Building
