created_date;created_at;compressor_starts
2023-08-13 10:30:59+00:00;1691922659;156265
2023-11-03 11:52:59+00:00;1699012379;156979
2023-11-19 13:02:59+00:00;1700398979;157122
2023-11-24 09:28:59+00:00;1700818139;157161
2023-11-30 13:21:59+00:00;1701350519;157215
2023-12-01 10:18:59+00:00;1701425939;157223
2023-12-03 13:24:59+00:00;1701609899;157244
2023-12-10 12:47:59+00:00;1702212479;157307
2023-12-15 16:33:59+00:00;1702658039;157352
2023-12-21 12:08:59+00:00;1703160539;157402
2023-12-23 08:52:59+00:00;1703321579;157419
2023-12-24 08:52:59+00:00;1703407979;157427
2023-12-28 16:15:59+00:00;1703780159;157458
2023-12-31 09:13:59+00:00;1704014039;157480
2024-01-01 11:00:59+00:00;1704106859;157490
2024-01-02 09:50:59+00:00;1704189059;157498
2024-01-03 09:22:59+00:00;1704273779;157505
2024-01-05 08:38:59+00:00;1704443939;157519
2024-01-06 11:13:59+00:00;1704539639;157527
2024-01-07 14:01:59+00:00;1704636119;157537
2024-01-09 12:32:59+00:00;1704803579;157554
2024-01-12 16:13:59+00:00;1705076039;157585
2024-01-12 16:15:59+00:00;1705076159;157585
2024-01-17 07:47:59+00:00;1705477679;157621
2024-01-20 13:47:59+00:00;1705758479;157648
2024-01-21 10:13:59+00:00;1705832039;157657
2024-01-27 08:23:59+00:00;1706343839;157702
2024-01-27 11:05:59+00:00;1706353559;157703
2024-01-27 16:17:59+00:00;1706372279;157706
2024-01-28 08:24:59+00:00;1706430299;157714
2024-01-28 16:16:59+00:00;1706458619;157717
2024-01-29 15:31:59+00:00;1706542319;157730
2024-01-30 08:38:59+00:00;1706603939;157743
2024-01-31 07:18:59+00:00;1706685539;157761
2024-01-31 16:18:59+00:00;1706717939;157771
2024-02-01 08:03:59+00:00;1706774639;157777
2024-02-01 16:45:59+00:00;1706805959;157781
2024-02-02 08:30:59+00:00;1706862659;157789
2024-02-02 14:50:59+00:00;1706885459;157792
2024-02-03 08:18:59+00:00;1706948339;157799
2024-02-04 08:37:59+00:00;1707035879;157806
2024-02-05 08:35:59+00:00;1707122159;157814
2024-02-06 15:00:59+00:00;1707231659;157826
2024-02-08 08:20:59+00:00;1707380459;157844
2024-02-09 12:58:59+00:00;1707483539;157855
2024-02-10 08:48:59+00:00;1707554939;157863
2024-02-12 08:17:59+00:00;1707725879;157885
2024-02-13 13:57:59+00:00;1707832679;157898
2024-02-15 11:58:59+00:00;1707998339;157921
2024-02-17 09:10:59+00:00;1708161059;157940
2024-02-19 08:51:59+00:00;1708332719;157962
2024-02-20 08:01:59+00:00;1708416119;157971
2024-02-21 07:23:59+00:00;1708500239;157979
2024-02-23 14:06:59+00:00;1708697219;158003
2024-02-25 08:02:59+00:00;1708848179;158023
2024-02-26 10:09:59+00:00;1708942199;158034
2024-03-02 09:00:59+00:00;1709370059;158089
2024-03-06 07:45:59+00:00;1709711159;158128
2024-03-09 08:17:59+00:00;1709972279;158164
2024-03-12 07:50:59+00:00;1710229859;158189
2024-03-16 13:02:59+00:00;1710594179;158225
2024-03-23 09:04:59+00:00;1711184699;158287
2024-04-01 11:25:59+00:00;1711970759;158393
2024-04-07 13:54:59+00:00;1712498099;158447
2024-04-13 08:30:59+00:00;1712997059;158524
2024-04-14 09:30:59+00:00;1713087059;158550
