Datum;Zeitstempel;TVL;TRL;TWE;TWA;THG;TBW;TBW_Soll;TFB1;TA;Mitteltemperatur;TRL_ext;TRL_soll;MK1_Soll;WMZ_Hz;WMZ_Bw;WMZ_Sw;Error_ID;Bivalence;Demand;HDin;NDin;MOTin;ASDin;EVUin;HUPout;ZUPout;BUPout;ZW2SSTout;MA1out;MZ1out;ZIPout;VD1out;VD2out;VENout;AVout;VBOout;ZW1out;SUPout;FP2out;MA2out;MZ2out;MA3out;MZ3out;FP3out;ZW3SSTout;SLPout;SWTin;TSS;TSK;TFB_2;TFB_3;TEE;MK2_Soll;MK3_Soll;AnalogIn;AnalogOut_1;AnalogOut_2;SW_Stand;SW_Revision;WP_Typ;DF;SpHz;SpWq;Pth;WMstart
2025-03-03 00:00:13;1740956413;26,8;26,7;13,1;12,4;51,5;47,5;48;75;-2,5;0;5;28,4;0;2.008;445,3;0;0;10;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,2;20;0,7;5;7;1.883;9.717;23;11,5;0,1;0,7;0;0,4795
2025-03-03 00:01:13;1740956473;26,8;27;13,2;12,8;49,1;47,8;48;75;-2,5;0;5;28,4;0;2.008;445,3;0;0;10;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,2;20;0,7;5;7;1.883;9.717;23;11,5;-0,2;0,4;0;0,4795
2025-03-03 00:02:13;1740956533;26,9;26,8;13,3;13,2;47,5;47,8;48;75;-2,6;0;5;28,4;0;2.008;445,3;0;0;10;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,2;20;0,3;5;7;1.883;9.717;23;0;0,1;0,1;0;0,4795
2025-03-03 00:03:13;1740956593;26,7;26,7;13,4;13,9;45,9;47,9;48;75;-2,6;0;5;28,4;0;2.008;445,3;0;0;10;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,2;20;0,3;5;7;1.883;9.717;23;0;0;-0,5;0;0,4795
2025-03-03 00:04:13;1740956653;26,7;26,6;13,4;14,7;44,3;47,9;48;75;-2,6;0;5;28,4;0;2.008;445,3;0;0;10;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,2;20;0,6;5;7;1.883;9.717;23;8;0,1;-1,3;0;0,4795
2025-03-03 00:05:13;1740956713;26,6;26,6;13,4;15,5;42,8;47,9;48;75;-2,6;0;5;28,4;0;2.008;445,3;0;0;10;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,2;20;0,8;5;7;1.883;9.717;23;14,5;0;-2,1;0;0,4795
2025-03-03 00:06:13;1740956773;26,6;26,5;13,4;16,2;41,5;47,9;48;75;-2,6;0;5;28,4;0;2.008;445,3;0;0;10;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,2;20;0,3;5;7;1.883;9.717;23;0;0,1;-2,8;0;0,4795
2025-03-03 00:07:13;1740956833;26,4;26,4;13,4;16,7;40,4;47,9;48;75;-2,6;0;5;28,4;0;2.008;445,3;0;0;10;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,2;20;0,7;5;7;1.883;9.717;23;11,5;0;-3,3;0;0,4795
2025-03-03 00:08:13;1740956893;26,5;26,5;13,4;17;39,4;47,9;48;75;-2,6;0;5;28,4;0;2.008;445,3;0;0;10;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,2;20;0,3;5;7;1.883;9.717;23;0;0;-3,6;0;0,4795
2025-03-03 00:09:13;1740956953;26,5;26,5;13,3;17,3;38,5;48,1;48;75;-2,6;0;5;28,4;0;2.008;445,3;0;0;10;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,2;20;0,8;5;7;1.883;9.717;23;14,5;0;-4;0;0,4795
2025-03-03 00:10:13;1740957013;26,5;26,4;13,1;16,5;37,8;48,1;48;75;-2,7;0;5;28,5;0;2.008;445,3;0;0;10;10;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,2;20;0,6;5;7;1.883;9.717;23;8;0,1;-3,4;0;0,4795
2025-03-03 00:11:13;1740957073;33,5;26,4;13;12,7;43,6;48,1;48;75;-2,7;0;5;28,5;0;2.008;445,3;0;0;10;10;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,2;20;0,3;5;10;1.883;9.717;23;0;7,1;0,3;0;0
2025-03-03 00:12:13;1740957133;42,2;26,5;12,9;10,6;46,1;48,1;48;75;-2,7;0;5;28,5;0;2.008;445,3;0;0;10;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,2;20;0,8;5;10;1.883;9.717;23;14,5;15,7;2,3;15,79;0,263167
2025-03-03 00:13:13;1740957193;34,7;26,5;12,8;9,6;48,2;48,1;48;75;-2,7;0;5;28,5;0;2.008;445,3;0;0;10;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,2;20;0,8;5;10;1.883;9.717;23;14,5;8,2;3,2;8,25;0,400667
2025-03-03 00:14:13;1740957253;35,2;27,4;12,8;9,4;51,7;48,1;48;75;-2,6;0;5;28,4;0;2.008;445,3;0;0;10;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,2;20;0,8;5;10;1.883;9.717;23;14,5;7,8;3,4;7,84;0,531333
2025-03-03 00:15:13;1740957313;35,3;27,2;12,8;9,3;54,7;47,9;48;75;-2,7;0;5;28,5;0;2.008;445,3;0;0;10;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,2;20;0,3;5;10;1.883;9.717;23;0;8,1;3,5;0;0,531333
2025-03-03 00:16:13;1740957373;35,4;27,3;12,8;9,3;56,7;48,1;48;75;-2,7;0;5;28,5;0;2.008;445,3;0;0;10;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,2;20;0,8;5;10;1.883;9.717;23;14,5;8,1;3,5;8,15;0,667167
2025-03-03 00:17:13;1740957433;34,7;27,3;12,7;9,3;58,1;48,1;48;75;-2,7;0;5;28,5;0;2.008;445,3;0;0;10;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,2;20;0,3;5;10;1.883;9.717;23;0;7,4;3,4;0;0,667167
2025-03-03 00:18:13;1740957493;39,2;27,3;12,7;9,2;59,9;48,1;48;75;-2,7;0;5;28,5;0;2.008;445,3;0;0;10;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,2;20;0,3;5;10;1.883;9.717;23;0;11,9;3,5;0;0,667167
2025-03-03 00:19:13;1740957553;42,4;27,4;12,7;9,2;62,2;47,9;48;75;-2,7;0;5;28,5;0;2.008;445,3;0;0;10;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,2;20;0,3;5;10;1.883;9.717;23;0;15;3,5;0;0,667167
2025-03-03 00:20:13;1740957613;40,1;27,5;12,7;9,3;64,5;48,1;48;75;-2,7;0;5;28,5;0;2.008;445,3;0;0;10;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,2;20;0,8;5;10;1.883;9.717;23;14,5;12,6;3,4;12,67;0,878333
2025-03-03 00:21:13;1740957673;40,4;27,6;12,7;9,3;65,4;47,9;48;75;-2,7;0;5;28,5;0;2.008;445,3;0;0;10;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,2;20;0,7;5;10;1.883;9.717;23;11,5;12,8;3,4;10,21;1,0485
2025-03-03 00:22:13;1740957733;39,7;27,7;12,7;9,3;66,6;47,9;48;75;-2,7;0;5;28,5;0;2.008;445,3;0;0;10;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,2;20;0,3;5;10;1.883;9.717;23;0;12;3,4;0;1,0485
2025-03-03 00:23:13;1740957793;40,2;28;12,7;9,3;67,5;47,9;48;75;-2,7;0;5;28,5;0;2.008;445,3;0;0;10;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,2;20;0,3;5;10;1.883;9.717;23;0;12,2;3,4;0;1,0485
2025-03-03 00:24:13;1740957853;44,5;28,2;12,7;9,3;68,4;47,9;48;75;-2,7;0;5;28,5;0;2.008;445,3;0;0;10;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,2;20;0,3;5;10;1.883;9.717;23;0;16,3;3,4;0;1,0485
2025-03-03 00:25:13;1740957913;43,1;28,2;12,7;9,3;69,5;47,9;48;75;-2,8;0;5;28,5;0;2.008;445,3;0;0;10;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,3;20;0,3;5;10;1.883;9.717;23;0;14,9;3,4;0;1,0485
