datetime;compressor_starts
20230813 12:30:59;156265
20231103 12:52:59;156979
20231119 14:02:59;157122
20231124 10:28:59;157161
20231130 14:21:59;157215
20231201 11:18:59;157223
20231203 14:24:59;157244
20231210 13:47:59;157307
20231215 17:33:59;157352
20231221 13:08:59;157402
20231223 09:52:59;157419
20231224 09:52:59;157427
20231228 17:15:59;157458
20231231 10:13:59;157480
20240101 12:00:59;157490
20240102 10:50:59;157498
20240103 10:22:59;157505
20240105 09:38:59;157519
20240106 12:13:59;157527
20240107 15:01:59;157537
20240109 13:32:59;157554
20240112 17:13:59;157585
20240112 17:15:59;157585
20240117 08:47:59;157621
20240120 14:47:59;157648
20240121 11:13:59;157657
20240127 09:23:59;157702
20240127 12:05:59;157703
20240127 17:17:59;157706
20240128 09:24:59;157714
20240128 17:16:59;157717
20240129 16:31:59;157730
20240130 09:38:59;157743
20240131 08:18:59;157761
20240131 17:18:59;157771
20240201 09:03:59;157777
20240201 17:45:59;157781
20240202 09:30:59;157789
20240202 15:50:59;157792
20240203 09:18:59;157799
20240204 09:37:59;157806
20240205 09:35:59;157814
20240206 16:00:59;157826
20240208 09:20:59;157844
20240209 13:58:59;157855
20240210 09:48:59;157863
20240212 09:17:59;157885
20240213 14:57:59;157898
20240215 12:58:59;157921
20240217 10:10:59;157940
20240219 09:51:59;157962
20240220 09:01:59;157971
20240221 08:23:59;157979
20240223 15:06:59;158003
20240225 09:02:59;158023
20240226 11:09:59;158034
20240302 10:00:59;158089
20240306 08:45:59;158128
20240309 09:17:59;158164
20240312 08:50:59;158189
20240316 14:02:59;158225
20240323 10:04:59;158287
20240401 13:25:59;158393
20240407 15:54:59;158447
20240413 10:30:59;158524
20240414 11:30:59;158550
20240415 11:34:59;158570
20240416 08:54:59;158620
20240417 08:21:59;158644
20240417 13:44:59;158647
20240419 09:49:59;158680
20240420 12:45:59;158697
20240424 08:31:59;158743
20240425 07:11:59;158758
20240427 12:25:59;158782
20240429 09:41:59;158795
20240501 15:52:59;158806
20240504 09:51:59;158833
20240506 09:15:59;158844
20240506 11:24:59;158845
20240507 08:43:59;158857
20240508 08:30:59;158868
20240511 10:13:59;158913
20240514 11:14:59;158945
20240515 09:31:59;158951
20240518 09:14:59;158996
20240519 09:06:59;159008
20240521 11:10:59;159022
20240522 09:00:59;159036
20240523 08:48:59;159040
20240523 22:47:59;159045
20240523 23:08:59;159045
20240523 23:09:59;159045
20240524 07:55:59;159047
20240524 22:47:59;159057
20240525 14:42:59;159059
20240525 16:55:59;159060
20240526 12:18:59;159063
20240527 10:00:59;159066
20240528 15:07:59;159071
20240612 11:52:59;159127
20240615 13:24:59;159138
20240622 10:06:59;159162
20240629 08:10:59;159188
20240701 13:03:59;159195
20240706 09:19:59;159211
20240713 10:35:59;159237
20240721 10:25:59;159264
20240729 09:27:59;159290
20240801 11:34:59;159301
20240803 10:19:59;159308
20240810 09:47:59;159332
20240901 14:32:59;159409
20240903 13:33:59;159618
20240912 14:59:59;159457
20240912 17:09:59;159459
20240913 10:01:59;159463
20240913 12:03:59;159468
20240913 15:51:59;159473
20240928 14:21:59;159619
20240928 17:38:59;159619
20240929 09:48:59;159624
20240929 17:58:59;159626
20240929 21:43:59;159630
20240930 09:14:59;159640
20240930 20:00:59;159646
20241001 18:09:59;159662
20241002 18:57:59;159678
20241003 10:21:59;159689
20241004 19:02:59;159707
20241005 09:26:59;159713
20241006 10:35:59;159723
20241007 18:01:59;159736
20241008 07:57:59;159753
20241009 08:31:59;159776
20241011 08:54:59;159830
20241012 09:02:59;159850
20241012 20:33:59;159854
20241013 10:15:59;159860
20241013 18:52:59;159866
20241014 08:30:59;159873
20241015 18:14:59;159887
20241016 08:42:59;159900
20241016 18:18:59;159903
20241016 18:22:59;159902
20241018 08:59:59;159929
20241019 09:53:59;159946
20241020 10:08:59;159956
20241022 09:14:59;159987
20241022 19:56:59;159990
20241024 07:56:59;160017
20241024 18:54:59;160020
20241026 09:21:59;160034
20241027 10:00:59;160046
20241029 18:17:59;160081
20241030 18:34:59;160105
20241104 08:44:59;160209
20241105 09:13:59;160229
20241105 18:26:59;160235
20241106 18:23:59;160252
20241108 08:40:59;160277
20241109 09:25:59;160296
20241112 08:57:59;160344
20241113 08:34:59;160361
20241114 09:05:59;160381
20241115 18:08:59;160404
20241116 09:12:59;160416
20241117 09:44:59;160432
20241118 08:51:59;160447
20241120 08:58:59;160475
20241125 09:05:59;160567
20241126 08:19:59;160578
20241128 08:11:59;160608
20241130 08:55:59;160649
20241201 09:37:59;160666
20241203 09:02:59;160701
20241204 08:37:59;160718
20241205 08:23:59;160735
20241207 09:42:59;160768
20241208 08:43:59;160783
20241208 08:45:59;160783
20241209 08:54:59;160800
20241210 08:42:59;160818
20241211 08:49:59;160835
20241214 08:51:59;160881
20241215 10:28:59;160903
20241220 08:55:59;160985
20241221 08:48:59;161005
20241222 11:08:59;161023
20241226 09:57:59;161091
20241227 09:05:59;161110
20241228 09:02:59;161127
20241229 10:33:59;161147
20241230 08:57:59;161163
20241231 08:51:59;161181
20250101 10:02:59;161197
20250102 08:11:59;161213
20250103 08:33:59;161229
20250104 10:42:59;161249
20250105 09:14:59;161266
20250106 08:34:59;161281
20250106 08:37:59;161281
20250107 08:07:59;161296
20250108 08:16:59;161314
20250109 21:02:59;161337
20250111 08:59:59;161366
20250112 09:56:59;161382
20250113 08:27:59;161397
20250114 18:01:59;161417
20250115 08:30:59;161424
20250115 15:28:59;161427
20250117 08:52:59;161451
20250118 10:40:59;161469
20250119 09:55:59;161484
20250121 08:38:59;161520
20250122 08:27:59;161538
20250123 08:50:59;161555
20250125 10:06:59;161587
20250131 08:23:59;161696
20250201 08:26:59;161709
20250203 07:47:59;161737
20250204 08:21:59;161753
