Datum;Zeitstempel;TVL;TRL;TWE;TWA;THG;TBW;TBW_Soll;TFB1;TA;Mitteltemperatur;TRL_ext;TRL_soll;MK1_Soll;WMZ_Hz;WMZ_Bw;WMZ_Sw;Error_ID;Bivalence;Demand;HDin;NDin;MOTin;ASDin;EVUin;HUPout;ZUPout;BUPout;ZW2SSTout;MA1out;MZ1out;ZIPout;VD1out;VD2out;VENout;AVout;VBOout;ZW1out;SUPout;FP2out;MA2out;MZ2out;MA3out;MZ3out;FP3out;ZW3SSTout;SLPout;SWTin;TSS;TSK;TFB_2;TFB_3;TEE;MK2_Soll;MK3_Soll;AnalogIn;AnalogOut_1;AnalogOut_2;SW_Stand;SW_Revision;WP_Typ;DF;SpHz;SpWq;Pth;WMstart
2024-12-28 08:58:09;1735372689;28,9;28,8;13,1;13,2;33,6;44,7;48;75;-3,6;-3,4;5;30,5;0;1.980;441,6;0;0;10;0;0;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,5;20;0,7;5;7;1.883;9.717;23;11,5;0,1;-0,1;0;0
2024-12-28 08:59:09;1735372749;28,8;28,7;13,1;13,1;33,6;44,6;48;75;-3,5;-3,4;5;30,5;0;1.980;441,6;0;0;10;0;0;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,4;20;0,3;5;7;1.883;9.717;23;0;0,1;0;0;0
2024-12-28 09:00:09;1735372809;28,7;28,7;13,1;13,1;33,4;44,6;48;75;-3,5;-3,4;5;30,5;0;1.980;441,6;0;0;10;0;0;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,4;20;0,8;5;7;1.883;9.717;23;14,5;0;0;0;0
2024-12-28 09:01:09;1735372869;28,8;28,7;13,1;13,1;33,3;44,5;48;75;-3,5;-3,4;5;30,5;0;1.980;441,6;0;0;10;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,4;20;0,3;5;7;1.883;9.717;23;0;0,1;0;0;0
2024-12-28 09:02:09;1735372929;28,8;28,8;13,1;13,1;33,3;44,5;48;75;-3,5;-3,4;5;30,5;0;1.980;441,6;0;0;10;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,4;20;0,7;5;7;1.883;9.717;23;11,5;0;0;0;0
2024-12-28 09:03:12;1735372992;28,9;28,9;13,1;13;33,2;44,5;48;75;-3,5;-3,4;5;30,5;0;1.980;441,6;0;0;10;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,4;20;0,3;5;7;1.883;9.717;23;0;0;0,1;0;0
2024-12-28 09:04:12;1735373052;29,1;29,1;13,1;13;33,1;44,5;48;75;-3,5;-3,4;5;30,5;0;1.980;441,6;0;0;10;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,4;20;0,7;5;7;1.883;9.717;23;11,5;0;0,1;0;0
2024-12-28 09:05:12;1735373112;29,2;29,2;13,1;13;33,1;44,5;48;75;-3,5;-3,4;5;30,5;0;1.980;441,6;0;0;10;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,4;20;0,3;5;7;1.883;9.717;23;0;0;0,1;0;0
2024-12-28 09:06:12;1735373172;29,4;29,4;13,1;13;33;44,5;48;75;-3,5;-3,4;5;30,5;0;1.980;441,6;0;0;10;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,4;20;0,6;5;7;1.883;9.717;23;8;0;0,1;0;0
2024-12-28 09:07:12;1735373232;29,6;29,5;13,1;12,9;32,9;44,5;48;75;-3,5;-3,4;5;30,5;0;1.980;441,6;0;0;10;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;5;75;75;5;37,4;20;0,6;5;7;1.883;9.717;23;8;0,1;0,2;0;0
